Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Final_Result
1,4.4,84.9,43.0,71.1,20.5,Fail
2,9.6,76.8,67.9,68.8,19.9,Pass
3,7.6,65.5,91.1,41.5,46.3,Pass
4,6.4,90.7,81.3,60.5,20.0,Pass
5,2.4,84.2,86.5,62.8,20.9,Fail
6,2.4,58.1,76.1,63.9,40.4,Fail
7,1.5,95.5,78.5,74.8,28.0,Pass
8,8.8,91.1,89.4,72.0,41.1,Pass
9,6.4,97.5,47.5,76.5,12.6,Pass
10,7.4,86.3,64.3,85.9,29.5,Fail
11,1.2,80.7,45.5,88.8,11.3,Fail
12,9.7,70.9,99.1,83.1,12.5,Pass
13,8.5,96.6,96.1,97.3,46.3,Pass
14,2.9,93.3,32.8,41.1,15.6,Fail
15,2.6,52.3,79.4,51.7,31.3,Fail
16,2.7,51.3,94.8,40.5,26.4,Fail
17,3.7,68.8,42.6,78.8,23.9,Fail
18,5.7,90.5,69.8,93.9,46.0,Pass
19,4.9,99.4,94.1,54.6,10.9,Pass
20,3.6,57.5,32.4,95.6,36.6,Fail
21,6.5,79.7,78.8,43.6,48.5,Pass
22,2.3,69.0,50.8,96.1,32.4,Fail
23,3.6,98.5,94.7,61.1,47.5,Pass
24,4.3,92.1,98.0,46.1,12.1,Pass
25,5.1,91.9,96.1,69.2,26.8,Pass
26,8.1,73.4,63.2,55.4,20.4,Pass
27,2.8,70.7,90.3,57.1,39.2,Fail
28,5.6,63.7,89.1,58.4,49.3,Pass
29,6.3,52.8,52.3,88.2,20.3,Fail
30,1.4,93.2,88.0,72.3,36.2,Pass
31,6.5,90.6,32.6,58.7,17.9,Pass
32,2.5,100.0,71.7,76.6,32.6,Pass
33,1.6,99.8,46.1,83.0,28.6,Fail
34,9.5,77.8,38.4,56.4,48.9,Pass
35,9.7,88.4,35.4,64.8,34.3,Pass
36,8.3,97.2,78.7,47.3,24.0,Pass
37,3.7,92.5,53.8,50.9,14.6,Fail
38,1.9,62.4,80.7,80.9,16.0,Fail
39,7.2,72.5,34.6,50.9,19.0,Fail
40,5.0,56.5,52.1,71.5,20.0,Fail
41,2.1,97.7,67.8,82.5,44.0,Pass
42,5.5,80.3,85.4,46.4,32.4,Pass
43,1.3,61.4,52.3,74.0,30.9,Fail
44,9.2,83.6,73.8,55.4,14.6,Pass
45,3.3,80.9,92.0,97.8,44.4,Pass
46,7.0,67.9,73.1,69.0,38.9,Fail
47,3.8,55.7,46.3,88.4,12.7,Fail
48,5.7,83.6,31.7,73.0,38.3,Pass
49,5.9,76.0,90.9,42.6,31.7,Fail
50,2.7,88.6,31.5,78.0,13.3,Fail
51,9.7,76.0,91.2,97.1,28.3,Pass
52,8.0,92.6,67.0,76.1,29.4,Pass
53,9.5,77.6,95.7,89.2,16.6,Pass
54,9.1,78.0,85.9,93.1,47.8,Pass
55,6.4,93.8,99.9,53.7,44.0,Pass
56,9.3,70.2,54.5,52.7,36.8,Fail
57,1.8,56.7,83.7,76.7,28.5,Fail
58,2.8,51.4,58.1,64.7,26.5,Fail
59,1.4,87.8,63.6,90.4,36.0,Fail
60,3.9,81.0,73.9,94.0,31.8,Pass
61,4.5,85.2,91.2,61.2,12.5,Pass
62,3.4,60.6,98.9,54.2,30.5,Fail
63,8.5,56.8,83.8,86.8,42.3,Fail
64,4.2,50.7,59.2,56.5,28.4,Fail
65,3.5,67.5,59.5,89.4,12.1,Pass
66,5.9,79.5,81.6,65.4,41.5,Pass
67,2.3,69.6,46.7,80.1,18.1,Fail
68,8.2,71.9,37.7,45.7,20.3,Fail
69,1.7,95.2,54.8,77.4,16.6,Fail
70,9.9,67.4,50.1,67.1,23.2,Fail
71,8.0,75.7,50.7,75.2,40.3,Pass
72,2.8,89.2,46.4,50.1,30.8,Fail
73,1.0,69.8,32.9,84.2,18.2,Fail
74,8.3,81.1,31.3,91.8,45.1,Pass
75,7.4,93.1,99.1,53.0,45.2,Pass
76,7.6,97.5,59.9,45.7,44.8,Pass
77,7.9,57.4,56.9,41.4,19.6,Fail
78,1.7,96.3,77.6,78.5,28.0,Fail
79,4.2,74.6,45.3,76.4,49.4,Fail
80,2.0,62.9,96.5,72.8,40.9,Fail
81,8.8,73.0,85.0,53.9,11.1,Pass
82,6.6,99.0,36.3,63.5,12.6,Pass
83,4.0,74.6,59.2,75.7,28.6,Fail
84,1.6,66.4,91.5,69.8,46.4,Pass
85,3.8,81.7,96.1,99.3,31.5,Pass
86,3.9,62.0,62.7,48.2,29.9,Fail
87,7.6,53.8,72.9,81.7,14.2,Fail
88,6.7,56.4,41.7,64.3,36.3,Fail
89,9.0,56.4,99.4,65.7,42.9,Pass
90,5.2,57.6,46.2,83.1,25.2,Fail
91,2.1,56.9,96.0,81.5,41.0,Fail
92,7.4,82.0,75.5,99.5,48.6,Pass
93,7.8,59.1,72.5,47.7,18.2,Fail
94,6.1,67.3,65.9,46.2,30.9,Fail
95,7.9,94.8,46.1,83.5,21.5,Pass
96,5.4,73.7,42.4,74.7,41.7,Pass
97,5.7,83.4,45.4,56.4,33.1,Fail
98,4.8,58.6,43.1,44.8,35.4,Fail
99,1.2,59.6,84.6,45.1,41.9,Fail
100,2.0,52.0,54.5,93.7,25.8,Fail
101,1.3,58.4,34.0,51.5,46.6,Fail
102,6.7,63.9,97.8,59.4,31.3,Pass
103,3.8,58.9,91.9,53.6,16.3,Fail
104,5.6,54.4,94.9,61.3,37.8,Fail
105,9.2,56.0,99.6,44.2,41.7,Fail
106,3.2,73.0,42.2,71.1,22.7,Fail
107,4.7,60.3,57.7,44.1,44.3,Fail
108,7.8,68.2,83.1,88.0,46.2,Pass
109,3.1,75.2,78.7,54.0,21.1,Fail
110,1.7,84.5,40.8,72.4,49.3,Fail
111,3.6,52.0,87.1,92.8,15.6,Fail
112,2.5,90.0,45.7,79.1,18.1,Fail
113,9.4,81.4,45.7,72.0,17.4,Pass
114,8.3,54.1,67.6,59.5,45.8,Fail
115,6.7,93.7,71.5,60.0,36.2,Pass
116,8.8,96.0,70.6,80.2,16.1,Pass
117,8.2,53.1,36.4,99.6,27.6,Fail
118,2.7,63.8,91.4,79.7,34.6,Fail
119,9.0,90.3,48.6,73.5,13.3,Pass
120,5.9,87.4,39.1,83.8,45.3,Pass
121,8.3,59.2,92.2,67.9,42.1,Pass    
122,9.1,60.5,96.9,43.6,30.2,Fail
123,3.9,68.5,90.3,73.7,48.7,Pass
124,2.0,74.2,86.7,97.5,26.7,Fail
125,3.1,80.9,75.9,50.5,49.4,Fail
126,4.8,68.4,68.6,81.4,36.7,Fail
127,8.4,73.1,36.1,52.1,35.4,Fail
128,8.7,87.4,58.6,72.1,16.6,Pass
129,1.1,51.8,56.1,45.8,45.3,Fail
130,5.6,62.6,48.2,67.0,27.1,Fail
131,4.8,85.7,80.6,85.4,16.5,Pass
132,3.0,94.8,64.7,60.9,10.5,Fail
133,2.1,75.6,35.7,79.9,32.4,Fail
134,4.0,76.6,45.4,87.7,31.1,Fail
135,9.5,55.4,77.8,95.6,38.8,Pass
136,3.9,72.4,35.3,54.1,45.6,Fail
137,5.7,76.6,89.6,64.0,13.2,Fail
138,7.3,62.1,64.7,49.1,39.3,Pass
139,4.3,63.5,63.6,99.5,17.5,Fail
140,9.7,68.9,71.5,95.6,44.3,Pass
141,9.7,51.0,87.7,72.4,42.8,Pass
142,3.3,66.1,54.3,90.5,31.6,Fail
143,5.5,60.6,77.5,71.3,38.4,Fail
144,3.7,66.4,69.6,77.4,22.6,Pass
145,3.6,56.0,48.7,45.3,28.8,Fail
146,1.3,94.5,91.5,85.3,42.9,Pass
147,6.5,79.7,85.8,47.7,28.4,Pass
148,5.5,84.0,76.1,89.6,24.3,Pass
149,1.5,89.5,89.5,86.9,29.8,Pass
150,3.5,74.9,90.7,82.5,43.1,Pass
151,9.2,54.3,79.6,42.2,23.4,Pass
152,3.2,76.9,88.6,58.2,17.0,Fail
153,2.3,79.3,78.8,55.8,38.5,Pass
154,5.4,87.3,77.6,61.6,43.0,Pass
155,9.9,71.6,73.3,45.3,14.0,Pass
156,3.2,56.4,82.7,96.2,19.6,Fail
157,7.0,64.2,41.1,73.2,15.7,Fail
158,7.9,68.2,91.7,58.3,23.9,Pass
159,3.1,82.3,91.0,63.8,28.0,Pass
160,7.6,78.5,32.0,66.8,40.0,Pass
161,4.3,67.8,87.8,76.0,36.0,Pass
162,6.7,99.3,39.0,70.9,34.8,Pass
163,6.7,80.3,53.5,95.2,24.1,Pass
164,5.8,61.9,82.0,69.8,43.7,Pass
165,1.8,55.1,41.3,99.5,28.9,Fail
166,8.5,57.6,87.3,91.1,49.2,Pass
167,3.9,62.3,88.2,52.5,35.4,Pass
168,2.7,58.0,65.5,95.8,15.1,Fail
169,1.4,59.3,30.4,47.0,37.0,Fail
170,6.3,64.3,50.1,89.0,23.0,Fail
171,7.1,58.7,73.2,62.8,37.5,Pass
172,1.1,94.8,98.7,92.7,12.8,Pass
173,5.6,54.0,74.2,92.1,17.0,Fail
174,3.0,76.2,48.2,88.4,44.2,Fail
175,6.8,70.5,74.4,87.4,19.1,Pass
176,2.6,99.1,67.8,58.3,43.5,Pass
177,7.2,55.6,84.6,44.9,21.2,Fail
178,4.5,69.9,37.5,64.2,35.7,Fail
179,9.4,98.5,83.3,50.4,37.8,Pass
180,2.2,93.3,67.9,81.7,30.5,Pass
181,4.1,90.9,97.4,60.8,22.2,Pass
182,2.0,62.9,53.9,98.5,18.5,Fail
183,9.3,58.5,74.3,78.5,11.3,Pass
184,8.9,83.4,95.2,89.3,22.2,Pass
185,3.3,96.5,37.2,48.0,36.1,Fail
186,6.9,77.8,95.6,91.7,47.5,Pass
187,8.4,78.6,78.2,95.4,44.8,Pass
188,6.0,64.0,34.7,69.2,40.6,Fail
189,5.8,88.5,51.1,76.4,41.5,Pass
190,3.2,59.4,79.6,85.9,36.6,Pass
191,1.8,66.2,34.7,50.5,20.4,Fail
192,9.1,71.3,70.8,70.2,46.3,Pass
193,9.1,75.4,54.2,63.9,36.8,Fail
194,6.7,62.1,73.5,48.8,32.4,Fail
195,4.1,55.7,33.2,62.1,14.4,Fail
196,4.1,80.5,91.0,44.1,27.9,Fail
197,7.5,64.4,98.1,41.5,28.4,Pass
198,9.1,79.1,97.8,48.1,44.6,Pass
199,9.0,57.7,82.5,97.8,31.9,Pass
200,8.0,74.1,39.1,73.0,25.2,Fail
201,6.8,76.6,83.1,97.9,49.1,Pass
202,1.8,52.6,31.7,65.9,14.4,Fail
203,2.5,66.8,31.5,58.7,26.9,Fail
204,9.1,56.7,52.7,70.4,11.7,Fail
205,6.5,53.2,64.2,66.4,39.6,Fail
206,1.1,99.5,83.9,46.3,46.7,Fail
207,1.9,66.1,77.8,78.4,21.2,Fail
208,7.0,90.5,61.2,53.0,44.3,Pass
209,1.0,62.7,49.2,77.2,21.7,Fail
210,2.4,84.1,99.8,79.0,46.4,Pass
211,5.9,88.0,59.8,49.1,40.2,Pass
212,7.2,79.8,61.6,43.7,42.2,Pass
213,6.9,73.6,41.5,86.8,10.7,Fail
214,3.0,70.6,85.6,67.6,48.5,Pass
215,7.4,67.4,78.6,43.5,39.1,Fail
216,3.1,96.5,45.5,99.7,22.2,Pass
217,3.9,91.5,35.8,43.5,43.2,Pass
218,7.7,98.3,77.6,81.7,21.3,Pass
219,6.8,56.2,75.8,99.0,44.9,Pass
220,8.6,86.5,49.1,54.4,14.5,Pass
221,6.9,96.9,96.6,48.5,38.1,Pass
222,6.1,59.1,40.6,47.3,31.6,Fail
223,1.8,53.3,60.3,58.2,13.9,Fail
224,4.3,87.1,96.1,46.1,19.7,Pass
225,3.4,78.7,59.4,81.5,10.5,Fail
226,3.2,92.1,74.7,43.7,28.8,Fail
227,9.8,57.0,57.8,70.6,22.1,Fail
228,4.5,89.8,49.2,99.8,33.9,Pass
229,9.0,60.1,98.9,88.8,21.9,Pass
230,6.7,58.2,58.7,76.9,22.0,Fail
231,8.2,58.2,92.6,58.4,39.7,Pass
232,5.5,90.7,46.1,77.4,11.9,Fail
233,6.2,83.3,44.9,71.6,46.1,Pass
234,5.4,76.2,32.2,65.6,44.1,Fail
235,2.8,67.9,75.6,47.8,36.7,Fail
236,7.5,93.9,55.8,93.2,33.7,Pass
237,3.5,69.6,90.5,67.0,45.7,Fail
238,1.2,90.8,63.1,51.7,17.4,Fail
239,6.8,72.0,97.8,62.1,13.2,Pass
240,2.6,68.8,43.0,64.8,19.6,Fail
241,9.5,73.1,90.8,89.7,41.8,Pass
242,9.6,65.1,84.4,84.0,11.4,Pass
243,9.2,87.4,84.0,86.2,33.3,Pass
244,4.3,75.1,89.1,40.7,49.8,Pass
245,1.1,61.6,83.3,65.0,44.2,Fail
246,9.4,95.0,73.8,68.9,30.9,Pass
247,4.9,69.2,39.2,41.2,12.5,Fail
248,9.7,77.2,32.3,55.6,43.3,Pass
249,9.7,95.3,94.5,85.6,34.0,Pass
250,8.7,81.2,73.2,48.2,14.6,Pass
251,3.7,55.8,85.8,72.1,13.8,Fail
252,4.5,97.0,63.7,52.9,46.4,Pass
253,8.7,81.4,38.2,40.7,36.8,Fail
254,3.9,66.7,38.8,54.5,43.2,Fail
255,2.5,57.0,78.0,98.6,45.2,Fail
256,6.0,89.7,60.1,88.1,32.9,Pass
257,9.4,81.0,44.0,97.6,30.7,Pass
258,7.3,76.7,64.4,69.3,27.2,Pass
259,6.1,94.7,34.5,46.6,22.7,Fail
260,1.9,89.4,70.7,72.9,27.4,Fail
261,6.5,57.6,48.8,67.3,41.0,Fail
262,9.9,65.6,85.8,90.7,34.1,Pass
263,2.3,62.4,51.7,45.9,45.7,Fail
264,5.7,87.2,61.9,69.3,27.7,Pass
265,8.9,51.7,30.8,49.0,34.3,Fail
266,7.7,78.5,35.1,59.5,35.3,Fail
267,7.3,88.1,57.5,84.2,33.7,Fail
268,7.3,93.8,63.6,68.6,38.1,Pass
269,4.2,67.1,72.0,62.6,19.5,Fail
270,3.6,91.1,50.4,63.7,30.5,Pass
271,8.3,55.5,78.6,67.6,14.2,Fail
272,8.3,92.3,90.2,87.1,25.4,Pass
273,8.8,56.4,84.6,93.5,29.5,Pass
274,9.2,69.9,32.8,97.3,36.1,Pass
275,5.6,89.9,63.6,87.2,48.0,Pass
276,5.5,57.5,37.3,58.9,34.0,Fail
277,8.2,61.5,46.9,81.3,39.7,Fail
278,6.8,86.1,99.1,66.3,30.3,Pass
279,7.3,86.0,40.0,55.3,35.4,Pass
280,8.2,82.1,64.9,90.5,12.8,Pass
281,9.0,84.7,73.3,42.3,20.2,Pass
282,4.0,77.1,79.2,94.1,24.5,Fail
283,4.4,62.6,69.2,67.7,28.9,Pass
284,1.8,67.3,30.7,78.2,11.8,Fail
285,6.2,59.1,52.9,79.6,15.6,Fail
286,1.3,95.4,66.2,93.7,21.1,Fail
287,5.2,79.2,36.2,78.2,48.9,Fail
288,5.9,70.0,54.5,76.8,23.3,Pass
289,3.6,73.1,32.3,44.0,29.3,Fail
290,6.3,97.4,35.5,71.1,17.8,Pass
291,1.3,57.7,57.8,49.0,34.4,Fail
292,1.3,79.3,39.3,84.2,21.2,Fail
293,8.4,75.3,69.7,70.7,18.3,Fail
294,4.2,80.6,78.3,80.8,30.7,Pass
295,2.1,50.9,86.0,42.5,10.2,Fail
296,5.7,93.6,44.0,45.1,10.3,Fail
297,7.9,96.6,41.7,83.0,18.8,Fail
298,2.9,78.3,37.3,44.3,11.5,Fail
299,6.6,84.8,74.6,44.3,14.3,Pass
300,1.8,96.1,79.5,40.7,23.6,Pass
301,1.5,85.4,32.2,97.4,42.1,Fail
302,5.8,57.6,95.5,84.3,32.9,Fail
303,5.9,78.8,33.6,61.2,30.5,Fail
304,6.7,80.3,67.9,57.8,21.7,Pass
305,7.5,71.2,79.6,61.0,47.3,Fail
306,9.8,86.8,91.0,86.5,25.9,Pass
307,5.6,96.7,80.0,79.7,13.5,Pass
308,3.9,96.3,86.1,51.1,34.7,Pass
309,8.2,72.5,53.8,50.4,14.6,Fail
310,3.4,55.7,87.0,45.9,23.8,Fail
311,5.0,99.2,35.6,79.6,30.3,Fail
312,1.7,91.9,92.6,85.9,45.0,Pass
313,1.2,56.2,68.3,55.9,29.7,Fail
314,9.7,96.0,87.2,41.3,38.1,Pass
315,8.5,93.5,61.7,44.9,49.7,Pass
316,7.3,75.9,75.1,98.1,15.3,Pass
317,4.7,79.6,66.8,57.7,21.0,Pass
318,2.6,70.0,81.2,86.2,25.8,Fail
319,2.4,52.7,35.7,77.5,26.9,Fail
320,3.3,66.8,34.2,62.9,26.4,Fail
321,5.9,90.1,47.3,52.3,46.3,Pass
322,7.4,50.2,41.2,47.3,38.6,Fail
323,6.9,66.7,91.0,76.9,34.3,Pass
324,3.5,69.9,45.3,86.5,22.4,Fail
325,9.6,76.9,98.3,78.6,43.0,Pass
326,7.6,96.0,53.6,71.8,48.2,Pass
327,6.0,67.3,42.7,42.5,42.8,Fail
328,6.5,67.3,85.3,98.1,10.1,Pass
329,4.8,86.9,76.1,87.9,35.5,Pass
330,3.2,72.6,64.9,57.6,12.0,Fail
331,4.2,61.2,68.9,98.8,20.3,Fail
332,7.8,72.6,80.3,76.1,12.4,Pass
333,1.1,57.0,46.0,74.9,34.2,Fail
334,2.0,58.8,99.7,84.9,37.5,Pass
335,1.4,74.9,98.2,88.7,14.6,Pass
336,1.4,70.9,75.5,79.4,25.4,Fail
337,8.7,95.7,44.0,47.7,28.2,Pass
338,7.3,68.1,77.6,60.3,24.8,Fail
339,5.3,79.0,35.1,95.7,14.8,Fail
340,1.9,81.6,32.1,53.5,26.8,Fail
341,5.4,50.7,48.0,62.3,40.0,Fail
342,5.3,83.2,62.4,65.9,12.8,Fail
343,2.6,58.9,90.8,66.4,13.2,Pass
344,4.9,98.1,80.9,76.8,24.2,Pass
345,4.6,57.4,82.0,96.6,47.7,Pass
346,6.5,70.7,59.8,54.4,36.7,Fail
347,6.7,54.3,54.2,47.3,37.1,Fail
348,1.4,99.8,56.0,51.8,24.5,Fail
349,4.4,75.1,99.1,93.2,33.7,Pass
350,6.6,79.8,32.8,78.7,10.4,Pass
351,5.5,53.4,90.7,57.2,35.4,Fail
352,8.7,87.5,70.5,89.0,46.5,Pass
353,6.9,60.5,60.7,91.7,34.5,Pass
354,2.5,94.9,80.8,90.8,44.9,Pass
355,1.6,60.3,64.1,95.1,39.0,Fail
356,6.8,59.5,91.1,55.1,14.8,Fail
357,1.2,51.8,93.0,85.3,46.1,Fail
358,6.3,73.6,59.5,67.6,12.7,Fail
359,9.5,78.2,49.4,90.5,31.4,Pass
360,6.2,53.3,71.5,83.7,15.7,Fail
361,4.5,88.8,93.9,86.6,10.5,Pass
362,6.8,72.7,44.7,79.4,26.9,Pass
363,5.1,76.2,73.6,50.6,21.8,Fail
364,5.9,72.0,74.2,72.7,29.4,Pass
365,9.5,70.0,81.3,99.1,33.1,Pass
366,4.5,78.0,39.2,96.2,11.7,Fail
367,9.7,57.8,80.1,42.6,14.9,Pass
368,9.1,59.1,93.6,49.9,32.3,Pass
369,2.8,93.1,42.6,47.9,23.7,Fail
370,1.6,97.3,46.6,83.6,39.2,Fail
371,1.9,68.7,98.0,89.1,36.1,Fail
372,1.2,63.5,42.7,52.8,43.8,Fail
373,1.8,82.2,89.8,70.4,37.7,Pass
374,7.1,70.4,64.5,90.4,27.2,Pass
375,1.6,51.3,47.3,84.0,36.9,Fail
376,3.9,57.8,91.0,72.5,21.0,Fail
377,8.6,85.8,61.2,75.4,22.3,Pass
378,1.2,82.9,66.0,70.5,41.6,Fail
379,8.3,51.4,55.1,57.9,27.9,Fail
380,3.5,61.1,71.5,73.9,41.9,Fail
381,2.1,61.6,41.4,81.3,42.9,Fail
382,7.3,83.6,57.4,92.4,44.3,Pass
383,6.7,51.0,97.9,78.2,46.7,Fail
384,8.9,55.2,48.1,85.7,27.2,Pass
385,7.6,90.0,76.0,49.6,22.8,Pass
386,8.2,58.9,52.8,67.7,33.3,Fail
387,3.5,82.6,84.1,40.6,24.8,Pass
388,2.6,61.9,39.2,54.8,34.0,Fail
389,7.8,55.0,97.9,83.6,38.2,Pass
390,8.3,62.2,61.8,99.5,37.5,Pass
391,9.9,86.1,46.5,46.0,25.0,Pass
392,4.7,92.8,35.1,64.1,16.7,Fail
393,4.3,91.5,41.9,88.0,27.2,Pass
394,8.0,69.9,66.4,52.2,15.7,Pass
395,4.1,83.4,53.6,73.3,45.6,Fail
396,9.4,60.2,88.0,84.0,23.8,Pass
397,8.7,64.7,60.2,77.0,16.2,Fail
398,4.9,94.8,47.4,51.3,11.0,Fail
399,7.8,50.7,73.2,61.3,35.8,Fail
400,7.8,54.3,79.5,87.0,35.5,Fail
401,1.9,60.4,41.7,73.3,23.6,Fail
402,9.1,51.3,41.7,40.3,12.9,Fail
403,5.5,59.1,32.6,85.7,26.4,Fail
404,8.4,79.2,81.5,42.1,22.4,Pass
405,3.9,71.1,76.5,84.7,37.1,Fail
406,9.1,94.6,63.2,52.1,34.2,Pass
407,4.5,90.9,89.1,97.5,24.6,Pass
408,1.1,67.1,86.4,62.1,18.7,Fail
409,9.1,63.0,71.0,59.6,49.5,Pass
410,1.8,69.0,90.8,48.9,28.2,Fail
411,3.9,79.5,44.4,58.3,37.5,Fail
412,9.6,63.4,37.8,92.6,15.6,Pass
413,9.6,81.2,48.9,99.8,29.4,Pass
414,6.2,70.5,34.0,62.1,11.1,Fail
415,6.7,77.6,67.2,66.9,30.2,Pass
416,5.0,71.8,95.6,83.3,48.6,Pass
417,3.6,64.7,32.8,93.2,25.4,Fail
418,4.0,97.4,38.5,75.6,11.6,Fail
419,7.1,88.2,61.7,63.5,11.2,Fail
420,7.8,57.0,95.4,64.8,25.5,Fail
421,8.1,93.4,52.1,81.7,16.4,Pass
422,8.1,74.4,65.5,40.2,10.9,Fail
423,1.8,94.7,32.9,77.2,40.2,Fail
424,5.4,90.0,40.4,61.3,28.3,Fail
425,1.5,71.3,99.1,87.7,21.6,Fail
426,5.9,51.1,97.6,45.6,46.0,Fail
427,5.0,63.4,30.3,75.3,14.6,Fail
428,9.0,77.1,96.6,68.9,48.2,Pass
429,4.2,81.7,74.7,78.5,22.6,Fail
430,2.1,62.9,90.8,43.9,45.5,Fail
431,2.3,57.0,61.8,74.8,34.1,Fail
432,7.9,91.7,66.1,73.7,43.1,Pass
433,6.6,99.2,64.2,73.6,49.4,Pass
434,1.9,76.3,76.7,76.2,21.5,Fail
435,1.8,58.6,39.8,80.6,48.4,Fail
436,7.3,63.6,32.1,88.3,25.6,Fail
437,1.7,50.9,51.6,56.2,25.4,Fail
438,8.4,95.7,79.3,89.5,23.6,Pass
439,7.4,55.9,44.1,69.9,31.7,Fail
440,1.7,78.8,77.1,44.6,16.2,Fail
441,1.8,63.7,97.9,43.5,32.1,Fail
442,9.9,77.7,36.6,60.1,31.7,Pass
443,4.4,82.6,77.1,87.1,40.5,Pass
444,4.3,91.5,61.1,82.5,43.3,Pass
445,8.3,60.3,90.8,87.3,27.6,Pass
446,9.5,50.5,42.4,71.0,22.1,Fail
447,9.9,56.8,78.5,66.4,20.4,Pass
448,7.8,95.0,88.7,48.8,17.8,Pass
449,4.4,93.7,96.1,59.7,12.3,Pass
450,1.8,79.9,77.8,66.0,23.7,Pass
451,8.0,80.0,64.8,45.3,20.8,Fail
452,6.0,83.3,73.2,53.2,48.7,Pass
453,4.8,58.8,90.8,75.9,32.3,Pass
454,9.2,95.7,69.9,84.1,23.9,Pass
455,2.0,70.9,32.1,99.9,33.2,Fail
456,5.4,69.2,95.2,96.0,15.6,Pass
457,1.1,75.9,78.3,78.6,27.8,Fail
458,5.2,52.3,77.4,65.3,35.0,Fail
459,1.5,58.3,45.1,78.2,29.6,Fail
460,2.1,86.9,76.1,87.1,26.1,Pass
461,2.1,54.1,57.6,47.1,49.8,Fail
462,6.8,80.2,75.6,64.6,45.2,Pass
463,7.7,62.3,37.5,90.4,34.9,Fail
464,6.3,69.5,76.0,63.0,32.8,Pass
465,9.7,64.4,100.0,74.3,34.8,Pass
466,4.4,67.8,33.4,75.3,18.1,Fail
467,3.6,86.0,98.4,51.1,25.8,Pass
468,8.8,64.9,58.5,61.7,11.6,Fail
469,3.0,78.3,91.0,60.1,29.0,Pass
470,9.7,73.8,84.8,41.6,31.7,Pass
471,1.1,83.2,69.7,41.5,19.1,Fail
472,9.7,96.8,81.7,89.9,48.6,Pass
473,1.4,86.6,91.5,56.4,46.4,Pass
474,9.0,60.7,58.3,71.1,38.9,Pass
475,5.7,51.6,52.9,57.9,31.3,Fail
476,9.9,63.1,76.7,96.4,44.8,Pass
477,1.7,79.8,86.5,55.6,15.2,Fail
478,6.0,52.6,83.4,65.8,41.6,Fail
479,9.7,74.8,85.8,92.4,15.0,Pass
480,5.7,79.8,60.5,90.5,41.8,Pass
481,6.7,66.7,87.2,51.2,21.0,Fail
482,7.3,88.5,38.4,88.2,45.1,Pass
483,5.1,55.3,68.1,67.5,47.8,Fail
484,6.6,53.8,30.4,69.0,16.0,Fail
485,6.3,86.4,52.7,48.0,28.5,Pass
486,9.1,74.8,55.7,44.8,49.2,Pass
487,1.4,84.4,57.7,83.7,29.3,Fail
488,3.5,71.7,78.7,69.8,44.5,Fail
489,9.6,62.3,57.2,66.2,33.5,Fail
490,9.0,91.0,61.4,83.8,25.0,Pass
491,5.1,90.0,46.6,85.9,21.4,Fail
492,6.6,84.7,56.1,49.5,18.1,Fail
493,3.5,63.6,45.9,76.6,40.5,Fail
494,2.7,79.5,35.1,48.1,25.5,Fail
495,5.2,68.0,72.2,85.1,30.5,Fail
496,4.2,54.6,76.8,79.4,29.7,Fail
497,6.3,95.9,73.4,97.4,33.1,Pass
498,1.7,56.8,62.4,44.1,44.6,Fail
499,9.8,97.5,56.6,43.4,49.2,Pass
500,9.9,72.3,90.4,56.9,26.3,Pass
